All riders in the 23 Tour teams listed.;;0;;;;;;;;Copy this:;0;;;;;;;;;;;;;;
Top part of the list (sorted by value) are those listed at PCS as due to ride (unless I have read something I consider more reliable): I will visit at least once a day to update it as teams get nearer to final line ups.;;;;;;;;;;;;;;;;;;;;;;;;;
If the team has been announced as confirmed, the rider names are in bold (they could still change, but the team has effectively said they don't intend to);;;;;;;;;;;;;;;;;;;;;;;;;
Lower part of list (sorted by team, then alphabetically) are other riders who could be drafted in.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Make trial combinations of your team by copying the contents of cell L1 (the red 0 next to red text above this and to the right)  into the appropriate row for the rider . Use columns f-m to try different permutations;;;;;;;;;;;;;;;;;;;;;;;;;
IF THIS LINE IS STILL HERE it is because the prices are still unfinalised.  Those here will be a good guide, but they are not certain until I post from the CQ download that comes out on Monday 2nd;;;;;;;;;;;;;;;;;;;;;;;;;
If you sort the spreadsheet by the column of your final selection, you can cut and paste the  8 names from Column A (only, not B and/or C) to submit your team. ;;;;;;;;;;;;;;;;;;;;;;;;;
These prices are provisional: they should be finalised on 30th June;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Budget;4000;;Team cost;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
;;;Number of riders;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
;;;Remaining budget;;4000;4000;4000;4000;4000;4000;4000;4000;;;;;;;;;;;;;
;;;Remaining budget per rider;;500,0;500,0;500,0;500,0;500,0;500,0;500,0;500,0;;;;;;;;;;;;;
POGACAR Tadej;UAD;5030;q;out of budget;;;;;;;;;;;;;;;;;;;;;
EVENEPOEL Remco;SOQ;2680;q;;;;;;;;;;;;;;;;;;;;;;
ALMEIDA Joao Pedro Gonçalves;UAD;2136;q;;;;;;;;;;;;;;;;;;;;;;
VINGEGAARD HANSEN Jonas;TVL;1735;q;;;;;;;;;;;;;;;;;;;;;;
PHILIPSEN Jasper;ADC;1686;q;;;;;;;;;;;;;;;;;;;;;;
VAN DER POEL Mathieu;ADC;1616;q;;;;;;;;;;;;;;;;;;;;;;
VAN AERT Wout;TVL;1596;q;;;;;;;;;;;;;;;;;;;;;;
ROGLIC Primoz;RBH;1592;q;;;;;;;;;;;;;;;;;;;;;;
GIRMAY HAILU Biniam;IWA;1529;q;;;;;;;;;;;;;;;;;;;;;;
