;;;;;;;;;;;;;;
;COSNEFROY Benoît;ACT;681;;;;;;;;;;;
;O'CONNOR Ben;ACT;664;;;;;;;;;;;
;GALL Felix;ACT;558;;;;;;;;;;;
;PARET-PEINTRE Aurélien;ACT;460;;;;;;;;;;;
;BERTHET Clément;ACT;372;;;;;;;;;;;
;PETERS Nans;ACT;319;;;;;;;;;;;
;NAESEN Oliver;ACT;255;;;;;;;;;;;
;DEWULF Stan;ACT;192;3501;;;;;;;;;;
;PHILIPSEN Jasper;ADC;1877;;;;;;;;;;;
;VAN DER POEL Mathieu;ADC;1359;;;;;;;;;;;
;ANDERSEN Søren Kragh;ADC;513;;;;;;;;;;;
;HERMANS Quinten;ADC;353;;;;;;;;;;;
;DILLIER Silvan;ADC;87;;;;;;;;;;;
;SINKELDAM Ramon;ADC;78;;;;;;;;;;;
;RICKAERT Jonas;ADC;72;;;;;;;;;;;
;GOGL Michael;ADC;36;4375;;;;;;;;;;
;BIERMANS Jenthe;ARK;513;;;;;;;;;;;
;MOZZATO Luca;ARK;480;;;;;;;;;;;
;BARGUIL Warren;ARK;439;;;;;;;;;;;
;LOUVEL Matis;ARK;396;;;;;;;;;;;
;CHAMPOUSSIN Clément;ARK;265;;;;;;;;;;;
;DELAPLACE Anthony;ARK;155;;;;;;;;;;;
;PICHON Laurent;ARK;125;;;;;;;;;;;
;GUGLIELMI Simon;ARK;93;2466;;;;;;;;;;
;LUTSENKO Alexey;AST;601;;;;;;;;;;;
;SANCHEZ GIL Luis Leon;AST;359;;;;;;;;;;;
;CAVENDISH Mark;AST;329;;;;;;;;;;;
;BOL Cees;AST;301;;;;;;;;;;;
;DE LA CRUZ MELGAREJO David;AST;185;;;;;;;;;;;
;FEDOROV Yevgeniy;AST;176;;;;;;;;;;;
;TEJADA CANACUE Harold Alfonso;AST;168;;;;;;;;;;;
;MOSCON Gianni;AST;56;2175;;;;;;;;;;
;MEEUS Jordi;BOH;773;;;;;;;;;;;
;HINDLEY Jai;BOH;669;;;;;;;;;;;
;KONRAD Patrick;BOH;587;;;;;;;;;;;
;VAN POPPEL Danny;BOH;441;;;;;;;;;;;
;HALLER Marco;BOH;362;;;;;;;;;;;
;POLITT Nils;BOH;333;;;;;;;;;;;
;JUNGELS Bob;BOH;322;;;;;;;;;;;
;BUCHMANN Emanuel;BOH;279;3766;;;;;;;;;;
;MARTIN Guillaume;COF;953;;;;;;;;;;;
;ZINGLE Axel;COF;948;;;;;;;;;;;
;COQUARD Bryan;COF;641;;;;;;;;;;;
;IZAGIRRE INSAUSTI Ion;COF;540;;;;;;;;;;;
;LAFAY Victor;COF;439;;;;;;;;;;;
;PEREZ Anthony;COF;381;;;;;;;;;;;
;GESCHKE Simon;COF;181;;;;;;;;;;;
;RENARD Alexis;COF;180;4263;;;;;;;;;;
;BARDET Romain;DSM;1039;;;;;;;;;;;
;WELSFORD Samuel;DSM;599;;;;;;;;;;;
;DEGENKOLB John;DSM;293;;;;;;;;;;;
;EEKHOFF Nils;DSM;239;;;;;;;;;;;
;HAMILTON Chris;DSM;163;;;;;;;;;;;
;VERMAERKE Kevin;DSM;143;;;;;;;;;;;
;EDMONDSON Alexander;DSM;118;;;;;;;;;;;
;DINHAM Matthew;DSM;91;2685;;;;;;;;;;
;POWLESS Neilson;EFE;1184;;;;;;;;;;;
;URAN URAN Rigoberto;EFE;665;;;;;;;;;;;
;CORT NIELSEN Magnus;EFE;624;;;;;;;;;;;
;CARAPAZ MONTENEGRO Richard Antonio;EFE;606;;;;;;;;;;;
;BETTIOL Alberto;EFE;582;;;;;;;;;;;
;CHAVES RUBIO Jhoan Esteban;EFE;492;;;;;;;;;;;
;SHAW James;EFE;240;;;;;;;;;;;
;AMADOR BIKKAZAKOVA Andrey;EFE;39;4432;;;;;;;;;;
;GAUDU David;GFC;1161;;;;;;;;;;;
;PINOT Thibaut;GFC;1153;;;;;;;;;;;
;KÜNG Stefan;GFC;1088;;;;;;;;;;;
;MADOUAS Valentin;GFC;1065;;;;;;;;;;;
;GENIETS Kévin;GFC;263;;;;;;;;;;;
;PACHER Quentin;GFC;190;;;;;;;;;;;
;LE GAC Olivier;GFC;86;;;;;;;;;;;
;VAN DEN BERG Lars;GFC;61;5067;;;;;;;;;;
;MEINTJES Louis;ICW;749;;;;;;;;;;;
;COSTA Rui Alberto Faria;ICW;604;;;;;;;;;;;
;GIRMAY HAILU Biniam;ICW;593;;;;;;;;;;;
;ZIMMERMANN Georg;ICW;425;;;;;;;;;;;
;TEUNISSEN Mike;ICW;323;;;;;;;;;;;
;CALMEJANE Lilian;ICW;191;;;;;;;;;;;
;SMITH Dion;ICW;173;;;;;;;;;;;
;PETIT Adrien;ICW;30;3088;;;;;;;;;;
;PIDCOCK Thomas;IGD;1068;;;;;;;;;;;
;RODRIGUEZ CANO Carlos;IGD;751;;;;;;;;;;;
;MARTINEZ POVEDA Daniel Felipe;IGD;551;;;;;;;;;;;
;CASTROVIEJO NICOLAS Jonathan;IGD;267;;;;;;;;;;;
;BERNAL GOMEZ Egan Arley;IGD;210;;;;;;;;;;;
;FRAILE MATARRANZ Omar;IGD;192;;;;;;;;;;;
;TURNER Ben;IGD;190;;;;;;;;;;;
;KWIATKOWSKI Michal;IGD;91;3320;;;;;;;;;;
;STRONG Corbin;IPT;551;;;;;;;;;;;
;WOODS Michael;IPT;528;;;;;;;;;;;
;CLARKE Simon;IPT;436;;;;;;;;;;;
;HOULE Hugo;IPT;385;;;;;;;;;;;
;TEUNS Dylan;IPT;361;;;;;;;;;;;
;SCHULTZ Nicholas;IPT;232;;;;;;;;;;;
;NEILANDS Krists;IPT;226;;;;;;;;;;;
;BOIVIN Guillaume;IPT;162;2881;;;;;;;;;;
;GROENEWEGEN Dylan;JAY;973;;;;;;;;;;;
